ast_base.mbt: 74/82
ast_declarations.mbt: 308/310
ast_expressions.mbt: 537/586
ast_jsdoc.mbt: 224/231
ast_misc_nodes.mbt: 118/119
ast_names_tokens.mbt: 133/146
ast_signatures.mbt: 267/274
diagnostic.mbt: 197/213
diagnostic_catalog.mbt: 299/300
flags.mbt: 81/96
for_each_child.mbt: 226/230
line_map.mbt: 80/85
node_array.mbt: 13/15
node_factory_flags.mbt: 114/119
node_finish.mbt: 24/27
node_queries.mbt: 124/144
options.mbt: 120/161
parent_links.mbt: 37/40
parser_bindings_variables.mbt: 166/187
parser_declarations.mbt: 612/700
parser_expression_core.mbt: 149/159
parser_expression_functions.mbt: 234/314
parser_expression_literals.mbt: 179/197
parser_expression_member.mbt: 398/473
parser_expression_unary.mbt: 119/120
parser_jsdoc.mbt: 493/558
parser_jsdoc_tags.mbt: 586/679
parser_jsdoc_types.mbt: 122/136
parser_jsx.mbt: 394/422
parser_lists.mbt: 509/573
parser_modules.mbt: 345/354
parser_names_literals.mbt: 135/153
parser_parameters_signatures.mbt: 316/367
parser_pragmas.mbt: 324/349
parser_public.mbt: 261/317
parser_source_file.mbt: 242/249
parser_state.mbt: 214/217
parser_state_kinds.mbt: 76/189
parser_statements.mbt: 462/485
parser_tokens.mbt: 400/437
parser_types.mbt: 655/703
scanner.mbt: 563/621
scanner_jsx_jsdoc.mbt: 157/192
scanner_literals.mbt: 510/622
scanner_regexp.mbt: 167/177
scanner_regexp_tables.mbt: 57/63
scanner_regexp_validator.mbt: 550/707
scanner_tables.mbt: 367/381
scanner_trivia.mbt: 166/182
scanner_unicode_tables.mbt: 17/25
source_text.mbt: 47/50
syntax_kind_names.mbt: 396/397
text_range.mbt: 41/50
Total: 14222/15800
