file	uncovered_points	uncovered_lines	audit_contract	disposition	reason
ast_base.mbt	8	40,49,50,51,225,286,302,360	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_declarations.mbt	2	126	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_expressions.mbt	49	68,75,195,196,223,242,321,332,341,345,364,425,427,590,594,595,600,620,621,622,623,624,625,632,641,642,712,841	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_jsdoc.mbt	7	59,381,382,383	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_misc_nodes.mbt	1	40	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_names_tokens.mbt	13	10,30,111,135,137,138,141,142,174,186,188,191	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
ast_signatures.mbt	7	214,233,235	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
diagnostic.mbt	16	217,221,229,320,377,407,410,532,535,539,543,574,579,580	diagnostics	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
diagnostic_catalog.mbt	1	1342	diagnostics	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
flags.mbt	15	137,160,198	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
for_each_child.mbt	4	87,96,603,621	child_traversal	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
line_map.mbt	5	99,127,143	representation_constants	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
node_array.mbt	2	46,54	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
node_factory_flags.mbt	5	137,146,147,148,150	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
node_finish.mbt	3	58,71	ast_factory	mapped_to_audited_contract	retained as an explicit uncovered point; no unreachable or platform exemption claimed
