upstream_symbol	code	category	message	placeholder_count	reachability	source_locations	moonbit_implementation	test_location	status
Diagnostics.Unterminated_string_literal	1002	Error	Unterminated string literal.	0	scanner_public_parser	src/compiler/scanner.ts:1431, src/compiler/scanner.ts:1450	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Identifier_expected	1003	Error	Identifier expected.	0	public_parser	src/compiler/parser.ts:2679, src/compiler/parser.ts:3473, src/compiler/parser.ts:3475, src/compiler/parser.ts:3477, src/compiler/parser.ts:3481, src/compiler/parser.ts:3640, src/compiler/parser.ts:3646, src/compiler/parser.ts:6547, src/compiler/parser.ts:8677, src/compiler/parser.ts:8681, src/compiler/parser.ts:9911	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics._0_expected	1005	Error	'{0}' expected.	1	public_parser, scanner_report_errors_only	src/compiler/parser.ts:2351, src/compiler/parser.ts:2376, src/compiler/parser.ts:2468, src/compiler/parser.ts:2481, src/compiler/parser.ts:2494, src/compiler/parser.ts:2503, src/compiler/parser.ts:2542, src/compiler/parser.ts:2550, src/compiler/parser.ts:3424, src/compiler/parser.ts:3471, src/compiler/parser.ts:3720, src/compiler/parser.ts:4111, src/compiler/parser.ts:4563, src/compiler/parser.ts:4570, src/compiler/parser.ts:5592, src/compiler/parser.ts:8467, src/compiler/scanner.ts:2801, src/compiler/scanner.ts:3263, src/compiler/scanner.ts:3266, src/compiler/scanner.ts:3579	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.The_parser_expected_to_find_a_1_to_match_the_0_token_here	1007	Error	The parser expected to find a '{1}' to match the '{0}' token here.	2	public_parser	src/compiler/parser.ts:2510, src/compiler/parser.ts:4573, src/compiler/parser.ts:8470	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Asterisk_Slash_expected	1010	Error	'*/' expected.	0	scanner_public_parser	src/compiler/scanner.ts:2112	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.An_element_access_expression_should_take_an_argument	1011	Error	An element access expression should take an argument.	0	public_parser	src/compiler/parser.ts:6435	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token	1012	Error	Unexpected token.	0	public_parser	src/compiler/parser.ts:1703, src/compiler/parser.ts:1712	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.super_must_be_followed_by_an_argument_list_or_member_access	1034	Error	'super' must be followed by an argument list or member access.	0	public_parser	src/compiler/parser.ts:6043	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token_A_constructor_method_accessor_or_property_was_expected	1068	Error	Unexpected token. A constructor, method, accessor, or property was expected.	0	public_parser	src/compiler/parser.ts:3436	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Unexpected_token_A_type_parameter_name_was_expected_without_curly_braces	1069	Error	Unexpected token. A type parameter name was expected without curly braces.	0	public_parser	src/compiler/parser.ts:9836	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Invalid_reference_directive_syntax	1084	Error	Invalid 'reference' directive syntax.	0	public_parser	src/compiler/parser.ts:10650	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Expression_expected	1109	Error	Expression expected.	0	public_parser	src/compiler/parser.ts:3440, src/compiler/parser.ts:6660, src/compiler/parser.ts:7963, src/compiler/parser.ts:8140	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Type_expected	1110	Error	Type expected.	0	public_parser	src/compiler/parser.ts:3466, src/compiler/parser.ts:3788	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Octal_literals_are_not_allowed_Use_the_syntax_0	1121	Error	Octal literals are not allowed. Use the syntax '{0}'.	1	scanner_public_parser	src/compiler/scanner.ts:1263	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Digit_expected	1124	Error	Digit expected.	0	scanner_public_parser	src/compiler/scanner.ts:1284	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
Diagnostics.Hexadecimal_digit_expected	1125	Error	Hexadecimal digit expected.	0	scanner_public_parser, scanner_report_errors_only	src/compiler/scanner.ts:1639, src/compiler/scanner.ts:1676, src/compiler/scanner.ts:1719, src/compiler/scanner.ts:2138	diagnostic_catalog.mbt	diagnostic_wbtest.mbt	complete
