upstream_symbol	child_order	source_location	moonbit_implementation	test_location	status
SyntaxKind.QualifiedName	node:node.left -> node:node.right	src/compiler/parser.ts:506	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.TypeParameter	nodes:node.modifiers -> node:node.name -> node:node.constraint -> node:node.default -> node:node.expression	src/compiler/parser.ts:510	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.ShorthandPropertyAssignment	nodes:node.modifiers -> node:node.name -> node:node.questionToken -> node:node.exclamationToken -> node:node.equalsToken -> node:node.objectAssignmentInitializer	src/compiler/parser.ts:517	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.SpreadAssignment	node:node.expression	src/compiler/parser.ts:525	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.Parameter	nodes:node.modifiers -> node:node.dotDotDotToken -> node:node.name -> node:node.questionToken -> node:node.type -> node:node.initializer	src/compiler/parser.ts:528	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.PropertyDeclaration	nodes:node.modifiers -> node:node.name -> node:node.questionToken -> node:node.exclamationToken -> node:node.type -> node:node.initializer	src/compiler/parser.ts:536	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.PropertySignature	nodes:node.modifiers -> node:node.name -> node:node.questionToken -> node:node.type -> node:node.initializer	src/compiler/parser.ts:544	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.PropertyAssignment	nodes:node.modifiers -> node:node.name -> node:node.questionToken -> node:node.exclamationToken -> node:node.initializer	src/compiler/parser.ts:551	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.VariableDeclaration	node:node.name -> node:node.exclamationToken -> node:node.type -> node:node.initializer	src/compiler/parser.ts:558	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.BindingElement	node:node.dotDotDotToken -> node:node.propertyName -> node:node.name -> node:node.initializer	src/compiler/parser.ts:564	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.IndexSignature	nodes:node.modifiers -> nodes:node.typeParameters -> nodes:node.parameters -> node:node.type	src/compiler/parser.ts:570	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.ConstructorType	nodes:node.modifiers -> nodes:node.typeParameters -> nodes:node.parameters -> node:node.type	src/compiler/parser.ts:576	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.FunctionType	nodes:node.modifiers -> nodes:node.typeParameters -> nodes:node.parameters -> node:node.type	src/compiler/parser.ts:582	for_each_child.mbt	for_each_child_wbtest.mbt	complete
SyntaxKind.CallSignature		src/compiler/parser.ts:588	for_each_child.mbt	for_each_child_wbtest.mbt	complete
