upstream_symbol	parser_access	source_locations	moonbit_implementation	test_location	status
NodeFactory.createArrayBindingPattern	direct factory call	src/compiler/parser.ts:7625	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createArrayLiteralExpression	captured as factoryCreateArrayLiteralExpression	src/compiler/parser.ts:1480	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createArrayTypeNode	direct factory call	src/compiler/parser.ts:4742	ast_types.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createArrowFunction	direct factory call	src/compiler/parser.ts:5212, src/compiler/parser.ts:5529	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createAsExpression	direct factory call	src/compiler/parser.ts:5690	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createAwaitExpression	direct factory call	src/compiler/parser.ts:5728	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createBinaryExpression	direct factory call	src/compiler/parser.ts:5686, src/compiler/parser.ts:6119	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createBindingElement	direct factory call	src/compiler/parser.ts:7591, src/compiler/parser.ts:7609	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createBlock	captured as factoryCreateBlock	src/compiler/parser.ts:1490	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createBreakStatement	direct factory call	src/compiler/parser.ts:6986	ast_statements.mbt	node_factory_declarations_contract_wbtest.mbt	complete
NodeFactory.createCallChain	captured as factoryCreateCallChain	src/compiler/parser.ts:1487	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createCallExpression	captured as factoryCreateCallExpression	src/compiler/parser.ts:1486	ast_expressions.mbt	node_factory_expressions_contract_wbtest.mbt	complete
NodeFactory.createCallSignature	direct factory call	src/compiler/parser.ts:4196	ast_signatures.mbt	node_factory_types_wbtest.mbt	complete
NodeFactory.createCaseBlock	direct factory call	src/compiler/parser.ts:7039	ast_declarations.mbt	node_factory_declarations_contract_wbtest.mbt	complete
