upstream_symbol	start_rule	terminator_rule	recovery_diagnostics	delimiter_rule	source_locations	moonbit_implementation	test_location	status
ParsingContext.SourceElements	return !(token() === SyntaxKind.SemicolonToken && inErrorRecovery) && isStartOfStatement();	return false;	_0_expected, Declaration_or_statement_expected	none via parseList@src/compiler/parser.ts:1814, none via parseListElement@src/compiler/parser.ts:1897	src/compiler/parser.ts:8755, src/compiler/parser.ts:2844, src/compiler/parser.ts:3047, src/compiler/parser.ts:3422	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.BlockStatements	return !(token() === SyntaxKind.SemicolonToken && inErrorRecovery) && isStartOfStatement();	return token() === SyntaxKind.CloseBraceToken;	Declaration_or_statement_expected	none via parseList@src/compiler/parser.ts:6831, none via parseList@src/compiler/parser.ts:8294	src/compiler/parser.ts:8756, src/compiler/parser.ts:2844, src/compiler/parser.ts:3015, src/compiler/parser.ts:3426	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.SwitchClauses	return token() === SyntaxKind.CaseKeyword || token() === SyntaxKind.DefaultKeyword;	return token() === SyntaxKind.CloseBraceToken;	case_or_default_expected	none via parseList@src/compiler/parser.ts:7037	src/compiler/parser.ts:8757, src/compiler/parser.ts:2852, src/compiler/parser.ts:3015, src/compiler/parser.ts:3428	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.SwitchClauseStatements	return !(token() === SyntaxKind.SemicolonToken && inErrorRecovery) && isStartOfStatement();	return token() === SyntaxKind.CloseBraceToken || token() === SyntaxKind.CaseKeyword || token() === SyntaxKind.DefaultKeyword;	Statement_expected	none via parseList@src/compiler/parser.ts:7018, none via parseList@src/compiler/parser.ts:7026	src/compiler/parser.ts:8758, src/compiler/parser.ts:2844, src/compiler/parser.ts:3017, src/compiler/parser.ts:3430	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.TypeMembers	return lookAhead(isTypeMemberStart);	return token() === SyntaxKind.CloseBraceToken;	Property_or_signature_expected	none via parseList@src/compiler/parser.ts:4381, none via parseList@src/compiler/parser.ts:4433	src/compiler/parser.ts:8759, src/compiler/parser.ts:2854, src/compiler/parser.ts:3015, src/compiler/parser.ts:3433	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.ClassMembers	return lookAhead(isClassMemberStart) || (token() === SyntaxKind.SemicolonToken && !inErrorRecovery);	return token() === SyntaxKind.CloseBraceToken;	Unexpected_token_A_constructor_method_accessor_or_property_was_expected	none via parseList@src/compiler/parser.ts:8236	src/compiler/parser.ts:8760, src/compiler/parser.ts:2856, src/compiler/parser.ts:3015, src/compiler/parser.ts:3435	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.EnumMembers	return token() === SyntaxKind.OpenBracketToken || isLiteralPropertyName();	return token() === SyntaxKind.CloseBraceToken;	Enum_member_expected	comma via parseDelimitedList@src/compiler/parser.ts:8280	src/compiler/parser.ts:8761, src/compiler/parser.ts:2862, src/compiler/parser.ts:3015, src/compiler/parser.ts:3437	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.HeritageClauseElement	if (token() === SyntaxKind.OpenBraceToken) { return lookAhead(isValidHeritageClauseObjectLiteral); } if (!inErrorRecovery) { return isStartOfLeftHandSideExpression() && !isHeritageClauseExtendsOrImplementsKeyword(); } else { // If we're in error recovery we tighten up what we're willing to match. // That way we don't treat something like "this" as a valid heritage clause // element during recovery. return isIdentifier() && !isHeritageClauseExtendsOrImplementsKeyword(); }	return token() === SyntaxKind.OpenBraceToken || token() === SyntaxKind.ExtendsKeyword || token() === SyntaxKind.ImplementsKeyword;	Expression_expected	comma via parseDelimitedList@src/compiler/parser.ts:8212	src/compiler/parser.ts:8762, src/compiler/parser.ts:2882, src/compiler/parser.ts:3019, src/compiler/parser.ts:3439	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.VariableDeclarations	return isBindingIdentifierOrPrivateIdentifierOrPattern();	return isVariableDeclaratorListTerminator();	_0_is_not_allowed_as_a_variable_declaration_name, Variable_declaration_expected	comma via parseDelimitedList@src/compiler/parser.ts:7712	src/compiler/parser.ts:8763, src/compiler/parser.ts:2898, src/compiler/parser.ts:3021, src/compiler/parser.ts:3441	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
ParsingContext.ObjectBindingElements	return token() === SyntaxKind.OpenBracketToken || token() === SyntaxKind.DotDotDotToken || isLiteralPropertyName();	return token() === SyntaxKind.CloseBraceToken;	Property_destructuring_pattern_expected	comma via parseDelimitedList@src/compiler/parser.ts:7615	src/compiler/parser.ts:8764, src/compiler/parser.ts:2878, src/compiler/parser.ts:3015, src/compiler/parser.ts:3445	parser_state_kinds.mbt; parser_lists.mbt	parser_state_kinds_wbtest.mbt; parser_lists_wbtest.mbt; scripts/audit-parser-core.mjs	complete
