contract	upstream_symbols	upstream_location	moonbit_implementation	test_location	status	notes
unicode_and_reverse_tables	lookupInUnicodeMap;isUnicodeIdentifierPart;makeReverseMap	src/compiler/scanner.ts:358-425	scanner_unicode_tables.mbt; scanner_tables.mbt	scanner_tables_wbtest.mbt; scanner_wbtest.mbt; scripts/audit-scanner.mjs	complete	Reverse token maps are explicit hand-written match tables.
code_unit_primitives	isDigit;isHexDigit;isASCIILetter;isWordCharacter;isOctalDigit;codePointUnchecked;codePointChecked;charCodeUnchecked;charCodeChecked;codePointAt;charSize;utf16EncodeAsStringFallback	src/compiler/scanner.ts:592-609,1131-1158,4034-4066	scanner.mbt; scanner_regexp_validator.mbt; source_text.mbt	source_text_wbtest.mbt; scanner_wbtest.mbt; scanner_regexp_wbtest.mbt	complete	Checked access is represented by SourceText plus scanner range bounds.
trivia_and_comment_ranges	isConflictMarkerTrivia;scanConflictMarkerTrivia;isShebangTrivia;scanShebangTrivia;iterateCommentRanges;appendCommentRange	src/compiler/scanner.ts:740-966	scanner_trivia.mbt; scanner.mbt	scanner_trivia_wbtest.mbt; scanner_wbtest.mbt	complete	Includes conflicts, shebang, leading/trailing ranges, and newline metadata.
diagnostic_callback	error	src/compiler/scanner.ts:1160-1168	scanner.mbt	scanner_wbtest.mbt; scanner_regexp_wbtest.mbt	complete	MoonBit passes the exact UTF-16 position explicitly to the callback.
numeric_literals	scanNumberFragment;scanNumber;checkForIdentifierStartAfterNumericLiteral;scanDigits;scanExactNumberOfHexDigits;scanMinimumNumberOfHexDigits;scanHexDigits;scanBinaryOrOctalDigits;checkBigIntSuffix	src/compiler/scanner.ts:1171-1420,1830-1889	scanner_literals.mbt; scanner.mbt	scanner_wbtest.mbt	complete	Covers decimal/radix/floating/separator/legacy-octal/BigInt values and errors.
strings_templates_and_escapes	scanString;scanTemplateAndSetTokenValue;scanEscapeSequence;scanExtendedUnicodeEscape;peekUnicodeEscape;peekExtendedUnicodeEscape	src/compiler/scanner.ts:1422-1779	scanner_literals.mbt	scanner_wbtest.mbt; scanner_regexp_wbtest.mbt	complete	Regexp-specific escape flags are represented by the private validator context.
identifiers	scanIdentifierParts;getIdentifierToken;reScanInvalidIdentifier;scanIdentifier	src/compiler/scanner.ts:1781-1828,2412-2436	scanner_literals.mbt; scanner_regexp.mbt; scanner_unicode_tables.mbt	scanner_wbtest.mbt	complete	Includes escaped keywords, private identifiers, astral code points, and ESNext rescan.
ordinary_token_scan	scan	src/compiler/scanner.ts:1891-2388	scanner.mbt; scanner_literals.mbt	scanner_wbtest.mbt; scanner_token_coverage_wbtest.mbt	complete	All token kinds 0..166 have a concrete scanner-mode path.
jsdoc_gate	shouldParseJSDoc	src/compiler/scanner.ts:2390-2410	scanner.mbt	scanner_wbtest.mbt	complete	ScriptKind and all four JSDoc parsing modes are covered.
punctuation_rescans	reScanGreaterToken;reScanAsteriskEqualsToken;reScanLessThanToken;reScanHashToken;reScanQuestionToken	src/compiler/scanner.ts:2438-2465,3673-3693	scanner_regexp.mbt	scanner_wbtest.mbt; scanner_token_coverage_wbtest.mbt	complete	Covers every contextual punctuation rescan result.
regexp_literal_boundary	reScanSlashToken;checkRegularExpressionFlagAvailability	src/compiler/scanner.ts:2467-2611,3611-3616	scanner_regexp.mbt	scanner_wbtest.mbt; scanner_regexp_wbtest.mbt	complete	Default parser path validates only literal boundaries and unterminated recovery.
regexp_grammar_core	scanRegularExpressionWorker;scanDisjunction;scanAlternative;scanPatternModifiers;scanAtomEscape;scanDecimalEscape;scanCharacterEscape;scanGroupName;scanWordCharacters;scanSourceCharacter;scanExpectedChar	src/compiler/scanner.ts:2613-3016,3555-3608	scanner_regexp_validator.mbt; scanner_regexp_tables.mbt	scanner_regexp_wbtest.mbt	complete	Full report-errors path covers flags, groups, quantifiers, escapes, and backreferences.
regexp_class_sets	isClassContentExit;scanClassRanges;scanClassSetExpression;scanClassSetSubExpression;scanClassSetOperand;scanClassStringDisjunctionContents;scanClassSetCharacter;scanClassAtom;scanCharacterClassEscape	src/compiler/scanner.ts:3018-3553	scanner_regexp_validator.mbt; scanner_regexp_tables.mbt	scanner_regexp_wbtest.mbt	complete	Includes u/v ranges, union/intersection/subtraction, string disjunction, and Unicode properties.
comment_directives	appendIfCommentDirective;getDirectiveFromComment	src/compiler/scanner.ts:3618-3656	scanner.mbt	scanner_wbtest.mbt	complete	Only ts-expect-error and ts-ignore are scanner directives; check/nocheck are pragmas.
template_rescans	reScanTemplateToken;reScanTemplateHeadOrNoSubstitutionTemplate	src/compiler/scanner.ts:3658-3666	scanner_regexp.mbt; scanner_literals.mbt	scanner_wbtest.mbt; scanner_token_coverage_wbtest.mbt	complete	Tagged raw and untagged cooked invalid-escape behavior is distinct.
jsx_modes	reScanJsxToken;scanJsxToken;scanJsxIdentifier;scanJsxAttributeValue;reScanJsxAttributeValue	src/compiler/scanner.ts:3668-3809	scanner_jsx_jsdoc.mbt	scanner_wbtest.mbt; scanner_token_coverage_wbtest.mbt	complete	Includes multiline text, identifiers, raw attribute strings, and JSX diagnostics.
jsdoc_modes	scanJSDocCommentTextToken;scanJsDocToken	src/compiler/scanner.ts:3813-3928	scanner_jsx_jsdoc.mbt	scanner_wbtest.mbt; scanner_token_coverage_wbtest.mbt	complete	Includes comment text/backtick and punctuation modes.
