upstream_symbol	value	declaration_names	runtime_reverse_name	classification_markers	source_locations	moonbit_implementation	test_location	status
SyntaxKind[0]	0	Unknown	FirstToken	FirstToken	Unknown@src/compiler/types.ts:41, FirstToken@src/compiler/types.ts:473	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[1]	1	EndOfFileToken	EndOfFileToken		EndOfFileToken@src/compiler/types.ts:42	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[2]	2	SingleLineCommentTrivia	FirstTriviaToken	FirstTriviaToken	SingleLineCommentTrivia@src/compiler/types.ts:43, FirstTriviaToken@src/compiler/types.ts:475	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[3]	3	MultiLineCommentTrivia	MultiLineCommentTrivia		MultiLineCommentTrivia@src/compiler/types.ts:44	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[4]	4	NewLineTrivia	NewLineTrivia		NewLineTrivia@src/compiler/types.ts:45	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[5]	5	WhitespaceTrivia	WhitespaceTrivia		WhitespaceTrivia@src/compiler/types.ts:46	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[6]	6	ShebangTrivia	ShebangTrivia		ShebangTrivia@src/compiler/types.ts:48	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[7]	7	ConflictMarkerTrivia	LastTriviaToken	LastTriviaToken	ConflictMarkerTrivia@src/compiler/types.ts:51, LastTriviaToken@src/compiler/types.ts:476	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[8]	8	NonTextFileMarkerTrivia	NonTextFileMarkerTrivia		NonTextFileMarkerTrivia@src/compiler/types.ts:54	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[9]	9	NumericLiteral	FirstLiteralToken	FirstLiteralToken	NumericLiteral@src/compiler/types.ts:56, FirstLiteralToken@src/compiler/types.ts:477	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[10]	10	BigIntLiteral	BigIntLiteral		BigIntLiteral@src/compiler/types.ts:57	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[11]	11	StringLiteral	StringLiteral		StringLiteral@src/compiler/types.ts:58	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[12]	12	JsxText	JsxText		JsxText@src/compiler/types.ts:59	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[13]	13	JsxTextAllWhiteSpaces	JsxTextAllWhiteSpaces		JsxTextAllWhiteSpaces@src/compiler/types.ts:60	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[14]	14	RegularExpressionLiteral	RegularExpressionLiteral		RegularExpressionLiteral@src/compiler/types.ts:61	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[15]	15	NoSubstitutionTemplateLiteral	FirstTemplateToken	LastLiteralToken, FirstTemplateToken	NoSubstitutionTemplateLiteral@src/compiler/types.ts:62, LastLiteralToken@src/compiler/types.ts:478, FirstTemplateToken@src/compiler/types.ts:479	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[16]	16	TemplateHead	TemplateHead		TemplateHead@src/compiler/types.ts:64	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
SyntaxKind[17]	17	TemplateMiddle	TemplateMiddle		TemplateMiddle@src/compiler/types.ts:65	syntax_kind.mbt; syntax_kind_names.mbt; syntax_kind_markers.mbt	syntax_kind_wbtest.mbt; scripts/audit-moonbit-syntax-kind.mjs	complete
