parseAssertEntriesError.ts(8,11): error TS1005: ';' expected.
parseAssertEntriesError.ts(9,14): error TS1005: ';' expected.
parseAssertEntriesError.ts(10,14): error TS1005: ';' expected.
parseAssertEntriesError.ts(11,17): error TS1005: ';' expected.
parseAssertEntriesError.ts(12,18): error TS1005: ';' expected.
parseAssertEntriesError.ts(21,30): error TS1478: Identifier or string literal expected.
parseAssertEntriesError.ts(21,53): error TS1005: ';' expected.
parseAssertEntriesError.ts(21,64): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(21,66): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(21,67): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(21,68): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(22,34): error TS1005: ':' expected.
parseAssertEntriesError.ts(24,57): error TS1478: Identifier or string literal expected.
parseAssertEntriesError.ts(24,80): error TS1005: ';' expected.
parseAssertEntriesError.ts(24,91): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(24,93): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(24,94): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(24,95): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(24,96): error TS1434: Unexpected keyword or identifier.
parseAssertEntriesError.ts(24,112): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(25,57): error TS1478: Identifier or string literal expected.
parseAssertEntriesError.ts(25,80): error TS1005: ';' expected.
parseAssertEntriesError.ts(25,90): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(25,92): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(25,93): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(25,94): error TS1128: Declaration or statement expected.
parseAssertEntriesError.ts(25,95): error TS1434: Unexpected keyword or identifier.
parseAssertEntriesError.ts(25,110): error TS1128: Declaration or statement expected.
